stulD,q0401a,q0401b,q0401c,q0401d,q0401e,q0401f,q0401g,q0401h,q0401i,q0401j,q0401k,q0401l,q0401m,q0401n,q0401o,q0401p,q0401q,q0402,q0403,q0404,q0405,q0406,q0407,q0408,q0409,年级,年份,市
100062,1,1,1,1,1,1,3,1,3,1,1,3,4,4,4,3,4,1,1,1,1,1,2200.0,7.5,2,2,2020,5
100063,4,4,3,4,3,3,4,4,4,3,4,2,3,4,5,3,3,1,1,2,2,2,,,3,2,2020,5
100064,2,2,2,2,5,4,5,3,4,1,2,4,5,5,5,4,5,1,2,1,2,1,2245.0,6.5,4,2,2020,5
100065,1,2,2,1,2,1,2,2,3,1,2,4,3,5,4,4,4,1,1,1,2,1,2250.0,7.0,2,2,2020,5
100066,3,4,3,3,3,2,3,2,4,2,3,3,4,4,4,2,3,1,2,1,2,1,2200.0,7.0,2,2,2020,5
100067,2,2,2,2,2,2,3,1,1,1,1,1,4,2,2,1,1,1,2,1,1,1,,,1,2,2020,5
100068,2,3,3,2,5,3,5,3,5,3,3,3,4,5,5,5,5,1,2,1,2,1,2300.0,6.5,2,2,2020,5
100069,2,3,3,3,3,3,4,2,4,2,3,3,4,4,4,4,4,1,2,2,2,2,2250.0,6.0,2,2,2020,5
100070,5,3,2,2,3,3,2,1,2,2,3,3,3,2,2,3,1,1,2,2,2,2,,,2,2,2020,5
100071,3,4,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,9999.0,6.5,1,2,2020,5
100072,1,1,1,3,3,2,2,1,2,2,3,2,1,1,1,3,1,1,1,2,2,2,9999.0,6.0,1,2,2020,5
100073,3,3,2,4,4,2,3,2,4,2,2,4,5,5,5,4,4,1,2,1,2,1,2300.0,6.0,1,2,2020,5
100074,3,4,4,3,3,3,3,2,4,2,3,2,3,3,3,3,3,1,1,1,1,1,,,3,2,2020,5
100075,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,2,1,2,1,2200.0,8.0,1,2,2020,5
100076,1,1,1,2,1,2,1,1,3,2,1,4,3,5,4,4,3,1,2,1,2,1,2300.0,6.5,2,2,2020,5
100077,1,3,3,2,3,1,3,3,2,3,4,4,3,4,4,4,4,1,2,1,2,1,9999.0,7.0,3,2,2020,5
100078,2,3,3,2,2,1,2,1,4,3,2,3,4,4,4,4,4,1,2,1,2,1,2200.0,9.0,2,2,2020,5
100079,3,3,3,3,3,3,3,3,5,3,2,3,3,3,5,5,5,1,2,1,2,1,9999.0,7.5,3,2,2020,5
100080,2,2,3,3,4,2,3,2,5,1,2,3,5,5,5,3,4,1,2,1,2,1,2300.0,7.0,1,2,2020,5
100081,1,2,4,2,4,2,3,2,4,2,2,5,5,5,5,5,3,1,2,1,2,1,2200.0,7.0,2,2,2020,5
100082,3,3,5,4,5,3,4,3,5,5,3,4,4,5,5,4,5,1,1,1,1,1,2300.0,6.0,3,2,2020,5
100083,3,4,4,4,4,2,4,4,4,3,2,4,5,5,4,4,5,1,2,1,2,1,2245.0,7.0,2,2,2020,5
100084,3,3,4,4,5,3,3,3,4,3,3,3,4,5,5,5,4,1,2,1,2,1,,,2,2,2020,5
100085,4,4,4,4,5,3,4,4,5,4,3,3,4,4,4,4,4,1,2,1,2,1,2300.0,,2,2,2020,5
100086,3,3,3,3,4,3,2,3,4,3,3,4,3,5,5,5,4,1,1,1,2,1,2200.0,7.0,2,2,2020,5
100087,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,1,1,1,2,2,2200.0,8.0,1,2,2020,5
100088,2,3,4,3,4,4,4,2,4,4,2,4,5,5,5,4,5,1,2,1,2,1,2200.0,8.0,1,2,2020,5
100089,2,2,1,1,1,2,1,3,4,1,1,1,4,4,4,5,5,1,1,1,2,2,,,4,2,2020,5
100090,3,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,2,1,2,2,2300.0,8.0,4,2,2020,5
100091,2,2,4,3,5,2,4,3,5,4,2,4,5,5,5,5,5,1,2,1,2,1,2240.0,8.0,2,2,2020,5
100092,1,4,3,3,3,3,5,3,4,5,1,3,4,4,4,4,4,1,1,1,1,1,2300.0,6.0,2,2,2020,5
100093,1,3,3,3,4,2,3,3,4,3,2,4,5,5,5,4,5,1,2,1,2,1,,,2,2,2020,5
100094,3,4,4,4,4,3,4,4,5,2,4,5,5,5,5,4,5,1,2,1,2,1,2200.0,7.0,2,2,2020,5
100095,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,1,2,1,2,1,,,1,2,2020,5
100096,1,1,2,2,2,2,2,2,2,2,1,2,5,4,4,4,4,1,2,1,2,1,2250.0,7.0,1,2,2020,5
100097,3,4,4,4,4,4,4,4,4,2,3,4,4,5,5,4,4,1,1,1,1,1,2300.0,7.0,4,2,2020,5
100098,2,2,3,3,4,2,3,4,5,3,1,5,5,5,5,4,4,1,2,1,2,1,2200.0,8.0,1,2,2020,5
100099,3,4,3,3,5,4,4,3,3,2,2,4,4,5,4,3,3,1,2,1,2,1,,,3,2,2020,5
100100,2,2,2,2,2,2,1,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,,,3,2,2020,5
