stulD,年份,市,民族,性别,出生年,出生月,身高/cm,体重/kg,肺活量/ml,50米跑/秒,坐位体前屈/cm,立定跳远/cm,1分钟跳绳,立定跳远/跳绳,800米（女）,1000米（男）,800米/1000/50*8,50*8,引体向上（男）,1分钟仰卧起坐（女）
129301,2015,5,1,2,1998,6,173,55.0,3550,7.68,14.0,2.0,,,4'01,,,,,34.0
129302,2015,5,1,2,1998,2,175,59.0,2870,8.65,13.0,2.07,,,3'40,,,,,39.0
129303,2015,5,1,1,1999,10,178,75.0,3500,7.7,14.0,2.42,,,,3'36,,,3.0,
129304,2015,5,1,1,1997,8,183,88.0,4050,7.22,3.0,2.3,,,,4'20,,,6.0,
129305,2015,5,1,1,1998,9,173,64.0,3200,7.73,10.0,2.52,,,,3'42,,,9.0,
129306,2015,5,1,1,1999,7,183,92.0,3940,7.12,13.0,2.35,,,,3'56,,,15.0,
129307,2015,5,1,2,1998,7,163,42.0,3050,7.69,11.0,1.96,,,3'15,,,,,29.0
129308,2015,5,1,2,1999,3,159,57.0,2560,8.6,17.0,1.91,,,3'36,,,,,39.0
129309,2015,5,1,1,1998,9,174,65.0,3760,7.13,11.0,2.45,,,,3'35,,,11.0,
129310,2015,5,1,1,2000,5,180,60.0,2700,6.34,4.0,2.3,,,,3'50,,,5.0,
129311,2015,5,1,1,1998,10,172,63.0,3540,6.6,13.0,2.39,,,,3'39,,,6.0,
129312,2015,5,1,2,1999,9,160,48.0,2600,7.2,6.0,1.7,,,3'24,,,,,30.0
129313,2015,5,1,2,2000,2,160,51.0,2315,7.2,5.0,2.03,,,3'40,,,,,30.0
129314,2015,5,1,1,1997,1,189,68.0,4550,6.95,2.0,2.69,,,,4'01,,,9.0,
129315,2015,5,1,1,1999,11,185,90.0,1547,6.59,1.0,2.49,,,,3'36,,,10.0,
129316,2015,5,1,2,1998,12,164,56.0,2350,8.4,18.0,2.01,,,3'45,,,,,42.0
129317,2015,5,1,1,1998,7,183,61.0,4350,7.72,12.0,2.78,,,,3'21,,,16.0,
129318,2015,5,1,2,1999,11,163,53.0,2200,7.47,7.0,2.04,,,3'3,,,,,30.0
129319,2015,5,1,2,1999,2,167,53.0,2440,8.1,16.0,2.0,,,3'37,,,,,46.0
129320,2015,5,1,1,1999,3,167,51.0,3040,7.02,9.0,2.3,,,,3'44,,,13.0,
129321,2015,5,1,2,1997,10,171,55.0,2570,8.65,13.0,1.91,,,3'15,,,,,27.0
129322,2015,5,1,2,2000,1,167,53.0,1900,8.0,5.0,1.93,,,3'4,,,,,31.0
129323,2015,5,1,1,1997,10,185,68.0,4050,7.65,20.0,2.54,,,,3'51,,,15.0,
129324,2015,5,1,2,1998,3,177,53.0,3302,9.45,7.0,1.96,,,3'51,,,,,29.0
129325,2015,5,1,1,2000,1,175,70.0,2750,6.01,7.0,2.45,,,,3'41,,,10.0,
129326,2015,5,1,2,2001,1,170,52.0,2520,8.0,16.0,1.82,,,3'4,,,,,50.0
129327,2015,5,1,2,2000,1,154,45.0,1400,7.5,5.0,1.75,,,3'28,,,,,38.0
129328,2015,5,1,2,1998,3,170,53.0,2560,9.45,6.0,1.91,,,4'15,,,,,28.0
129329,2015,5,1,1,1997,7,178,68.0,4050,7.65,19.0,2.63,,,,3'42,,,9.0,
129330,2015,5,1,1,1999,2,177,67.0,3000,7.15,0.0,2.4,,,,3'35,,,0.0,
129331,2015,5,1,1,1997,12,173,63.0,4050,7.1,14.0,2.68,,,,3'51,,,16.0,
129332,2015,5,1,1,1999,4,175,60.0,3216,7.21,4.0,2.2,,,,3'21,,,3.0,
